semantic.patch;exit.status;perc.of.cpu;elapsed.real.time;elapsed.system.time;elapsed.user.time
fen;0;631%;4.74;4.41;25.55
fen;0;666%;6.19;5.48;35.82
fen;0;637%;3.78;3.79;20.35
boolconv;0;110%;0.24;0.11;0.15
boolconv;0;110%;0.25;0.13;0.14
boolconv;0;110%;0.20;0.09;0.13
list_entry_update;0;111%;0.08;0.02;0.07
list_entry_update;0;112%;0.10;0.04;0.07
list_entry_update;0;110%;0.08;0.04;0.05
cstptr;0;110%;0.25;0.12;0.15
cstptr;0;111%;0.23;0.07;0.17
cstptr;0;110%;0.24;0.11;0.15
mini_lock;0;110%;0.09;0.02;0.07
mini_lock;0;113%;0.10;0.05;0.06
mini_lock;0;109%;0.17;0.06;0.11
doubleinit;0;110%;0.15;0.05;0.12
doubleinit;0;110%;0.24;0.09;0.17
doubleinit;0;109%;0.19;0.07;0.13
err_cast;0;736%;21.66;3.53;155.89
err_cast;0;754%;30.24;5.40;222.88
err_cast;0;685%;23.33;3.82;156.00
clk_put;0;110%;0.25;0.10;0.17
clk_put;0;111%;0.24;0.10;0.17
clk_put;0;110%;0.24;0.09;0.17
orplus;0;113%;0.13;0.03;0.11
orplus;0;109%;0.09;0.03;0.06
orplus;0;109%;0.09;0.02;0.07
doubletest;0;111%;0.20;0.06;0.15
doubletest;0;109%;0.09;0.04;0.05
doubletest;0;111%;0.25;0.12;0.16
array_size;0;699%;66.54;8.31;457.01
array_size;0;749%;117.60;15.18;866.80
array_size;0;706%;63.96;8.22;443.88
pool_zalloc-simple;0;618%;6.14;4.20;33.76
pool_zalloc-simple;0;624%;6.16;5.14;33.33
pool_zalloc-simple;0;542%;7.24;5.39;33.93
kfreeaddr;0;110%;0.24;0.10;0.16
kfreeaddr;0;110%;0.24;0.11;0.15
kfreeaddr;0;111%;0.24;0.11;0.15
warn;0;650%;16.69;5.57;103.03
warn;0;640%;17.23;5.34;105.00
warn;0;671%;16.52;5.32;105.55
returnvar;0;680%;565.79;27.18;3820.69
returnvar;0;768%;1060.62;186.22;7963.60
returnvar;0;665%;539.57;23.43;3568.52
ifcol;0;109%;0.17;0.06;0.12
ifcol;0;111%;0.15;0.05;0.12
ifcol;0;112%;0.16;0.08;0.10
device_node_continue;0;699%;6.76;4.29;42.97
device_node_continue;0;669%;12.80;8.32;77.40
device_node_continue;0;651%;4.98;2.90;29.52
boolreturn;0;768%;97.97;8.99;743.99
boolreturn;0;774%;127.83;15.19;975.21
boolreturn;0;750%;102.67;10.24;760.10
iounmap;0;110%;0.24;0.08;0.19
iounmap;0;110%;0.25;0.10;0.17
iounmap;0;111%;0.24;0.11;0.16
kfree;0;110%;0.25;0.10;0.17
kfree;0;110%;0.24;0.10;0.17
kfree;0;110%;0.24;0.08;0.18
odd_ptr_err;0;558%;79.44;8.74;434.70
odd_ptr_err;0;618%;65.97;7.38;400.66
odd_ptr_err;0;754%;92.83;15.03;685.37
flags;0;110%;0.09;0.03;0.07
flags;0;109%;0.20;0.09;0.12
flags;0;108%;0.19;0.09;0.11
bugon;0;763%;30.79;7.23;227.87
bugon;0;775%;26.69;6.56;200.39
bugon;0;602%;34.29;6.87;199.68
memdup;0;756%;66.72;9.73;495.03
memdup;0;685%;63.58;7.83;427.90
memdup;0;775%;165.03;36.74;1243.59
kstrdup;0;685%;18.89;9.19;120.31
kstrdup;0;705%;43.95;18.40;291.73
kstrdup;0;685%;18.66;8.99;118.90
use_after_iter;0;110%;0.09;0.03;0.07
use_after_iter;0;108%;0.17;0.06;0.12
use_after_iter;0;110%;0.25;0.10;0.17
unsigned_lesser_than_zero;0;111%;0.25;0.13;0.14
unsigned_lesser_than_zero;0;110%;0.24;0.08;0.18
unsigned_lesser_than_zero;0;110%;0.24;0.08;0.18
