commit.id;semantic.patch;phase1.success;phase2.success
4efe37f4c4ef;doublebitand;false;false
4efe37f4c4ef;doubleinit;false;false
4efe37f4c4ef;doubletest;false;false
4efe37f4c4ef;flags;false;false
4efe37f4c4ef;ifaddr;false;false
4efe37f4c4ef;ifcol;false;false
4efe37f4c4ef;iounmap;false;false
4efe37f4c4ef;kfree;false;false
4efe37f4c4ef;kfreeaddr;false;false
4efe37f4c4ef;kmerr;false;false
4efe37f4c4ef;list_entry_update;false;false
4efe37f4c4ef;mini_lock;false;false
4efe37f4c4ef;orplus;false;false
4efe37f4c4ef;pci_free_consistent;false;false
4efe37f4c4ef;pm_runtime;false;false
4efe37f4c4ef;unsigned_lesser_than_zero;false;false
4efe37f4c4ef;use_after_iter;false;false
5003ae1e735e;boolconv;false;false
5003ae1e735e;clk_put;false;false
5003ae1e735e;cond_no_effect;false;false
5003ae1e735e;cstptr;false;false
5003ae1e735e;deref_null;false;false
5003ae1e735e;devm_free;false;false
5003ae1e735e;double_lock;false;false
5003ae1e735e;doublebitand;false;false
5003ae1e735e;doubleinit;false;false
5003ae1e735e;doubletest;false;false
5003ae1e735e;flags;false;false
5003ae1e735e;ifaddr;false;false
5003ae1e735e;ifcol;false;false
5003ae1e735e;iounmap;false;false
5003ae1e735e;kfree;false;false
5003ae1e735e;kfreeaddr;false;false
5003ae1e735e;kmerr;false;false
5003ae1e735e;list_entry_update;false;false
5003ae1e735e;mini_lock;false;false
5003ae1e735e;orplus;false;false
5003ae1e735e;pci_free_consistent;false;false
5003ae1e735e;pm_runtime;false;false
5003ae1e735e;unsigned_lesser_than_zero;false;false
5003ae1e735e;use_after_iter;false;false
7007ba630e4a;boolconv;false;false
7007ba630e4a;clk_put;false;false
7007ba630e4a;cond_no_effect;false;false
7007ba630e4a;cstptr;false;false
7007ba630e4a;deref_null;false;false
7007ba630e4a;devm_free;false;false
7007ba630e4a;double_lock;false;false
7007ba630e4a;doublebitand;false;false
7007ba630e4a;doubleinit;false;false
7007ba630e4a;doubletest;false;false
7007ba630e4a;flags;false;false
7007ba630e4a;ifaddr;false;false
7007ba630e4a;ifcol;false;false
7007ba630e4a;iounmap;false;false
7007ba630e4a;kfree;false;false
7007ba630e4a;kfreeaddr;false;false
7007ba630e4a;kmerr;false;false
7007ba630e4a;list_entry_update;false;false
7007ba630e4a;mini_lock;false;false
7007ba630e4a;orplus;false;false
7007ba630e4a;pci_free_consistent;false;false
7007ba630e4a;pm_runtime;false;false
7007ba630e4a;unsigned_lesser_than_zero;false;false
7007ba630e4a;use_after_iter;false;false
78109d230b79;boolconv;false;false
78109d230b79;clk_put;false;false
78109d230b79;cond_no_effect;false;false
78109d230b79;cstptr;false;false
78109d230b79;deref_null;false;false
78109d230b79;devm_free;false;false
78109d230b79;double_lock;false;false
78109d230b79;doublebitand;false;false
78109d230b79;doubleinit;false;false
78109d230b79;doubletest;false;false
78109d230b79;flags;false;false
78109d230b79;ifaddr;false;false
78109d230b79;ifcol;false;false
78109d230b79;iounmap;false;false
78109d230b79;kfree;false;false
78109d230b79;kfreeaddr;false;false
78109d230b79;kmerr;false;false
78109d230b79;list_entry_update;false;false
78109d230b79;mini_lock;false;false
78109d230b79;orplus;false;false
78109d230b79;pci_free_consistent;false;false
78109d230b79;pm_runtime;false;false
78109d230b79;unsigned_lesser_than_zero;false;false
78109d230b79;use_after_iter;false;false
827ed2b06b05;boolconv;false;false
827ed2b06b05;clk_put;false;false
827ed2b06b05;cond_no_effect;false;false
827ed2b06b05;cstptr;false;false
827ed2b06b05;deref_null;false;false
827ed2b06b05;devm_free;false;false
827ed2b06b05;double_lock;false;false
827ed2b06b05;doublebitand;false;false
827ed2b06b05;doubleinit;false;false
827ed2b06b05;doubletest;false;false
827ed2b06b05;flags;false;false
827ed2b06b05;ifaddr;false;false
827ed2b06b05;ifcol;false;false
827ed2b06b05;iounmap;false;false
827ed2b06b05;kfree;false;false
827ed2b06b05;kfreeaddr;false;false
827ed2b06b05;kmerr;false;false
827ed2b06b05;list_entry_update;false;false
827ed2b06b05;mini_lock;false;false
827ed2b06b05;orplus;false;false
827ed2b06b05;pci_free_consistent;false;false
827ed2b06b05;pm_runtime;false;false
827ed2b06b05;unsigned_lesser_than_zero;false;false
827ed2b06b05;use_after_iter;false;false
847ecd3fa311;boolconv;false;false
847ecd3fa311;clk_put;false;false
847ecd3fa311;cond_no_effect;false;false
847ecd3fa311;cstptr;false;false
847ecd3fa311;deref_null;false;false
847ecd3fa311;devm_free;false;false
847ecd3fa311;double_lock;false;false
847ecd3fa311;doublebitand;false;false
847ecd3fa311;doubleinit;false;false
847ecd3fa311;doubletest;false;false
847ecd3fa311;flags;false;false
847ecd3fa311;ifaddr;false;false
847ecd3fa311;ifcol;false;false
847ecd3fa311;iounmap;false;false
847ecd3fa311;kfree;false;false
847ecd3fa311;kfreeaddr;false;false
847ecd3fa311;kmerr;false;false
847ecd3fa311;list_entry_update;false;false
847ecd3fa311;mini_lock;false;false
847ecd3fa311;orplus;false;false
847ecd3fa311;pci_free_consistent;false;false
847ecd3fa311;pm_runtime;false;false
847ecd3fa311;unsigned_lesser_than_zero;false;false
847ecd3fa311;use_after_iter;false;false
96801b35f07e;boolconv;false;false
96801b35f07e;clk_put;false;false
96801b35f07e;cond_no_effect;false;false
96801b35f07e;cstptr;false;false
96801b35f07e;deref_null;false;false
96801b35f07e;devm_free;false;false
96801b35f07e;double_lock;false;false
96801b35f07e;doublebitand;false;false
96801b35f07e;doubleinit;false;false
96801b35f07e;doubletest;false;false
96801b35f07e;flags;false;false
96801b35f07e;ifaddr;false;false
96801b35f07e;ifcol;false;false
96801b35f07e;iounmap;false;false
96801b35f07e;kfree;false;false
96801b35f07e;kfreeaddr;false;false
96801b35f07e;kmerr;false;false
96801b35f07e;list_entry_update;false;false
96801b35f07e;mini_lock;false;false
96801b35f07e;orplus;false;false
96801b35f07e;pci_free_consistent;false;false
96801b35f07e;pm_runtime;false;false
96801b35f07e;unsigned_lesser_than_zero;false;false
96801b35f07e;use_after_iter;false;false
bce1a65172d1;boolconv;false;false
bce1a65172d1;clk_put;false;false
bce1a65172d1;cond_no_effect;false;false
bce1a65172d1;cstptr;false;false
bce1a65172d1;deref_null;false;false
bce1a65172d1;devm_free;false;false
bce1a65172d1;double_lock;false;false
bce1a65172d1;doublebitand;false;false
bce1a65172d1;doubleinit;false;false
bce1a65172d1;doubletest;false;false
bce1a65172d1;flags;false;false
bce1a65172d1;ifaddr;false;false
bce1a65172d1;ifcol;false;false
bce1a65172d1;iounmap;false;false
bce1a65172d1;kfree;false;false
bce1a65172d1;kfreeaddr;false;false
bce1a65172d1;kmerr;false;false
bce1a65172d1;list_entry_update;false;false
bce1a65172d1;mini_lock;false;false
bce1a65172d1;orplus;false;false
bce1a65172d1;pci_free_consistent;false;false
bce1a65172d1;pm_runtime;false;false
bce1a65172d1;unsigned_lesser_than_zero;false;false
bce1a65172d1;use_after_iter;false;false
bfd40eaff5ab;boolconv;false;false
bfd40eaff5ab;clk_put;false;false
bfd40eaff5ab;cond_no_effect;false;false
bfd40eaff5ab;cstptr;false;false
bfd40eaff5ab;deref_null;false;false
bfd40eaff5ab;devm_free;false;false
bfd40eaff5ab;double_lock;false;false
bfd40eaff5ab;doublebitand;false;false
bfd40eaff5ab;doubleinit;false;false
bfd40eaff5ab;doubletest;false;false
bfd40eaff5ab;flags;false;false
bfd40eaff5ab;ifaddr;false;false
bfd40eaff5ab;ifcol;false;false
bfd40eaff5ab;iounmap;false;false
bfd40eaff5ab;kfree;false;false
bfd40eaff5ab;kfreeaddr;false;false
bfd40eaff5ab;kmerr;false;false
bfd40eaff5ab;list_entry_update;false;false
bfd40eaff5ab;mini_lock;false;false
bfd40eaff5ab;orplus;false;false
bfd40eaff5ab;pci_free_consistent;false;false
bfd40eaff5ab;pm_runtime;false;false
bfd40eaff5ab;unsigned_lesser_than_zero;false;false
bfd40eaff5ab;use_after_iter;false;false
ce8d1015a2b8;boolconv;false;false
ce8d1015a2b8;clk_put;false;false
ce8d1015a2b8;cond_no_effect;false;false
ce8d1015a2b8;cstptr;false;false
ce8d1015a2b8;deref_null;false;false
ce8d1015a2b8;devm_free;false;false
ce8d1015a2b8;double_lock;false;false
ce8d1015a2b8;doublebitand;false;false
ce8d1015a2b8;doubleinit;false;false
ce8d1015a2b8;doubletest;false;false
ce8d1015a2b8;flags;false;false
ce8d1015a2b8;ifaddr;false;false
ce8d1015a2b8;ifcol;false;false
ce8d1015a2b8;iounmap;false;false
ce8d1015a2b8;kfree;false;false
ce8d1015a2b8;kfreeaddr;false;false
ce8d1015a2b8;kmerr;false;false
ce8d1015a2b8;list_entry_update;false;false
ce8d1015a2b8;mini_lock;false;false
ce8d1015a2b8;orplus;false;false
ce8d1015a2b8;pci_free_consistent;false;false
ce8d1015a2b8;pm_runtime;false;false
ce8d1015a2b8;unsigned_lesser_than_zero;false;false
ce8d1015a2b8;use_after_iter;false;false
e71ff89c712c;boolconv;false;false
e71ff89c712c;clk_put;false;false
e71ff89c712c;cond_no_effect;false;false
e71ff89c712c;cstptr;false;false
e71ff89c712c;deref_null;false;false
e71ff89c712c;devm_free;false;false
e71ff89c712c;double_lock;false;false
e71ff89c712c;doublebitand;false;false
e71ff89c712c;doubleinit;false;false
e71ff89c712c;doubletest;false;false
e71ff89c712c;flags;false;false
e71ff89c712c;ifaddr;false;false
e71ff89c712c;ifcol;false;false
e71ff89c712c;iounmap;false;false
e71ff89c712c;kfree;false;false
e71ff89c712c;kfreeaddr;false;false
e71ff89c712c;kmerr;false;false
e71ff89c712c;list_entry_update;false;false
e71ff89c712c;mini_lock;false;false
e71ff89c712c;orplus;false;false
e71ff89c712c;pci_free_consistent;false;false
e71ff89c712c;pm_runtime;false;false
e71ff89c712c;unsigned_lesser_than_zero;false;false
e71ff89c712c;use_after_iter;false;false
ec663d967b22;boolconv;false;false
ec663d967b22;clk_put;false;false
ec663d967b22;cond_no_effect;false;false
ec663d967b22;cstptr;false;false
ec663d967b22;deref_null;false;false
ec663d967b22;devm_free;false;false
ec663d967b22;double_lock;false;false
ec663d967b22;doublebitand;false;false
ec663d967b22;doubleinit;false;false
ec663d967b22;doubletest;false;false
ec663d967b22;flags;false;false
ec663d967b22;ifaddr;false;false
ec663d967b22;ifcol;false;false
ec663d967b22;iounmap;false;false
ec663d967b22;kfree;false;false
ec663d967b22;kfreeaddr;false;false
ec663d967b22;kmerr;false;false
ec663d967b22;list_entry_update;false;false
ec663d967b22;mini_lock;false;false
ec663d967b22;orplus;false;false
ec663d967b22;pci_free_consistent;false;false
ec663d967b22;pm_runtime;false;false
ec663d967b22;unsigned_lesser_than_zero;false;false
ec663d967b22;use_after_iter;false;false
