commit.id;falsefalse;falsetrue;truefalse;truetrue
ec663d967b22;24;0;31;3
25a3ba610609;24;0;32;3
827ed2b06b05;24;0;32;3
bce1a65172d1;24;0;31;4
bfd40eaff5ab;24;0;31;4
38651683aa98;24;0;32;3
4efe37f4c4ef;24;0;32;3
ce8d1015a2b8;24;0;32;3
15b4dd798149;24;0;32;3
96801b35f07e;24;0;32;2
134bd90286d;24;0;31;4
2f53fbd52182;24;0;33;2
2551a53053de;24;0;31;4
847ecd3fa311;24;0;32;3
0d4a6608f68c;24;0;33;2
7007ba630e4a;24;0;32;3
5003ae1e735e;24;0;32;2
78109d230b79;24;0;32;3
e71ff89c712c;24;0;32;2
